split_id,model,accuracy,f1_weighted,f1_macro
11,bart,0.176471,0.176471,0.075000
11,flan_t5_base,0.235294,0.217647,0.079167
11,kl,0.235294,0.205882,0.053241
11,lexrank,0.352941,0.313165,0.107275
11,lsa,0.235294,0.158824,0.037500
11,luhn,0.235294,0.205882,0.048611
11,pegasus,0.176471,0.193137,0.054861
11,random,0.235294,0.247899,0.065476
11,reduction,0.235294,0.205882,0.048611
11,t5,0.294118,0.250980,0.075000
11,t5_large,0.176471,0.168067,0.053571
11,t5_small,0.411765,0.322409,0.105754
11,textrank,0.352941,0.311230,0.080429
12,bart,0.294118,0.240056,0.075198
12,flan_t5_base,0.235294,0.203922,0.072222
12,kl,0.235294,0.196078,0.069444
12,lexrank,0.352941,0.305322,0.102183
12,lsa,0.235294,0.156863,0.061111
12,luhn,0.352941,0.302521,0.100198
12,pegasus,0.294118,0.247059,0.093056
12,random,0.176471,0.164706,0.044444
12,reduction,0.235294,0.177871,0.060516
12,t5,0.235294,0.161765,0.052083
12,t5_large,0.411765,0.339496,0.102381
12,t5_small,0.411765,0.363585,0.122421
12,textrank,0.294118,0.273950,0.125794
13,bart,0.176471,0.237255,0.065278
13,flan_t5_base,0.294118,0.233333,0.086111
13,kl,0.235294,0.197479,0.060516
13,lexrank,0.294118,0.258824,0.084259
13,lsa,0.294118,0.254902,0.081019
13,luhn,0.411765,0.372549,0.122685
13,pegasus,0.411765,0.404762,0.148810
13,random,0.294118,0.279832,0.086442
13,reduction,0.411765,0.369048,0.116766
13,t5,0.294118,0.308824,0.093750
13,t5_large,0.235294,0.199440,0.056349
13,t5_small,0.352941,0.303922,0.097222
13,textrank,0.352941,0.342157,0.113194
14,bart,0.176471,0.152941,0.070833
14,flan_t5_base,0.352941,0.243697,0.093254
14,kl,0.294118,0.285714,0.095238
14,lexrank,0.352941,0.299720,0.103175
14,lsa,0.294118,0.250000,0.086806
14,luhn,0.294118,0.262605,0.096726
14,pegasus,0.235294,0.200000,0.072222
14,random,0.294118,0.286275,0.104630
14,reduction,0.411765,0.365011,0.113961
14,t5,0.058824,0.032086,0.007576
14,t5_large,0.117647,0.117647,0.062500
14,t5_small,0.176471,0.145098,0.067593
14,textrank,0.352941,0.305882,0.106944
15,bart,0.294118,0.224090,0.084921
15,flan_t5_base,0.294118,0.200980,0.065972
15,kl,0.235294,0.205882,0.048611
15,lexrank,0.529412,0.501961,0.155556
15,lsa,0.235294,0.176471,0.041667
15,luhn,0.235294,0.176471,0.041667
15,pegasus,0.117647,0.078431,0.027778
15,random,0.235294,0.191622,0.045244
15,reduction,0.352941,0.264706,0.062500
15,t5,0.294118,0.267647,0.096528
15,t5_large,0.117647,0.102941,0.031250
15,t5_small,0.352941,0.306723,0.107143
15,textrank,0.294118,0.247059,0.058333
16,bart,0.352941,0.243137,0.094444
16,flan_t5_base,0.176471,0.159664,0.044643
16,kl,0.117647,0.129412,0.058333
16,lexrank,0.411765,0.331232,0.110615
16,lsa,0.235294,0.196078,0.085648
16,luhn,0.294118,0.247059,0.090741
16,pegasus,0.294118,0.225490,0.104167
16,random,0.294118,0.229692,0.077381
16,reduction,0.294118,0.264171,0.090152
16,t5,0.294118,0.323529,0.113426
16,t5_large,0.235294,0.196078,0.055556
16,t5_small,0.235294,0.226891,0.095238
16,textrank,0.352941,0.309664,0.134226
17,bart,0.352941,0.296078,0.090741
17,flan_t5_base,0.058824,0.039216,0.009259
17,kl,0.117647,0.127451,0.034722
17,lexrank,0.470588,0.445098,0.137500
17,lsa,0.176471,0.070588,0.016667
17,luhn,0.235294,0.221034,0.070707
17,pegasus,0.117647,0.063725,0.024306
17,random,0.352941,0.302266,0.080628
17,reduction,0.352941,0.306938,0.088675
17,t5,0.294118,0.271569,0.089583
17,t5_large,0.117647,0.078431,0.027778
17,t5_small,0.411765,0.368627,0.140278
17,textrank,0.294118,0.252941,0.072222
18,bart,0.235294,0.206723,0.082143
18,flan_t5_base,0.117647,0.105882,0.058333
18,kl,0.294118,0.251961,0.087269
18,lexrank,0.470588,0.358824,0.112500
18,lsa,0.294118,0.215126,0.078571
18,luhn,0.294118,0.262142,0.098932
18,pegasus,0.117647,0.109244,0.032738
18,random,0.294118,0.258824,0.068056
18,reduction,0.294118,0.244118,0.085417
18,t5,0.235294,0.172549,0.051852
18,t5_large,0.176471,0.117647,0.055556
18,t5_small,0.411765,0.394118,0.141667
18,textrank,0.294118,0.266667,0.097685
19,bart,0.176471,0.103387,0.042929
19,flan_t5_base,0.235294,0.156162,0.040840
19,kl,0.352941,0.335294,0.112500
19,lexrank,0.352941,0.337255,0.114352
19,lsa,0.411765,0.352941,0.118056
19,luhn,0.411765,0.309804,0.097222
19,pegasus,0.176471,0.150000,0.035417
19,random,0.294118,0.297479,0.075794
19,reduction,0.529412,0.448039,0.129861
19,t5,0.294118,0.294118,0.097222
19,t5_large,0.235294,0.192157,0.075000
19,t5_small,0.470588,0.425490,0.144444
19,textrank,0.529412,0.493557,0.159127
20,bart,0.235294,0.156863,0.060185
20,flan_t5_base,0.176471,0.101961,0.035185
20,kl,0.411765,0.372549,0.111111
20,lexrank,0.529412,0.479552,0.145635
20,lsa,0.294118,0.213725,0.069907
20,luhn,0.411765,0.362745,0.109722
20,pegasus,0.117647,0.098039,0.048611
20,random,0.352941,0.321989,0.108433
20,reduction,0.529412,0.463585,0.141865
20,t5,0.352941,0.331373,0.106944
20,t5_large,0.294118,0.245098,0.081019
20,t5_small,0.411765,0.335014,0.108730
20,textrank,0.529412,0.473389,0.162698
21,bart,0.294118,0.237255,0.065278
21,flan_t5_base,0.117647,0.117647,0.037037
21,kl,0.352941,0.313725,0.108796
21,lexrank,0.470588,0.470028,0.153571
21,lsa,0.352941,0.315966,0.107937
21,luhn,0.235294,0.192157,0.069444
21,pegasus,0.176471,0.185714,0.049405
21,random,0.352941,0.330769,0.133654
21,reduction,0.294118,0.296791,0.103409
21,t5,0.352941,0.305882,0.100000
21,t5_large,0.235294,0.166667,0.048611
21,t5_small,0.235294,0.226891,0.086905
21,textrank,0.235294,0.223529,0.086111
22,bart,0.352941,0.273950,0.098016
22,flan_t5_base,0.176471,0.168067,0.045238
22,kl,0.352941,0.235740,0.074179
22,lexrank,0.352941,0.317647,0.093519
22,lsa,0.294118,0.223708,0.071338
22,luhn,0.294118,0.206061,0.067172
22,pegasus,0.235294,0.183754,0.073016
22,random,0.235294,0.147059,0.034722
22,reduction,0.294118,0.198039,0.065278
22,t5,0.176471,0.133333,0.047222
22,t5_large,0.117647,0.068627,0.034722
22,t5_small,0.235294,0.197479,0.074405
22,textrank,0.235294,0.166667,0.057870
23,bart,0.235294,0.215686,0.087963
23,flan_t5_base,0.117647,0.089636,0.039683
23,kl,0.352941,0.316527,0.107143
23,lexrank,0.352941,0.333333,0.111111
23,lsa,0.294118,0.196078,0.064815
23,luhn,0.352941,0.252559,0.092965
23,pegasus,0.117647,0.117647,0.034722
23,random,0.352941,0.321429,0.075893
23,reduction,0.352941,0.263051,0.094517
23,t5,0.176471,0.171569,0.059028
23,t5_large,0.176471,0.137255,0.069444
23,t5_small,0.411765,0.367647,0.128472
23,textrank,0.294118,0.247059,0.090741
24,bart,0.411765,0.355742,0.127976
24,flan_t5_base,0.117647,0.084967,0.050926
24,kl,0.352941,0.368067,0.120238
24,lexrank,0.294118,0.268908,0.095238
24,lsa,0.235294,0.170053,0.073485
24,luhn,0.411765,0.352381,0.122090
24,pegasus,0.235294,0.264706,0.090278
24,random,0.294118,0.305882,0.100000
24,reduction,0.352941,0.340642,0.115152
24,t5,0.058824,0.050420,0.011905
24,t5_large,0.235294,0.196078,0.083333
24,t5_small,0.411765,0.359664,0.129365
24,textrank,0.411765,0.364706,0.120833
25,bart,0.176471,0.122549,0.052083
25,flan_t5_base,0.352941,0.287115,0.100198
25,kl,0.294118,0.317927,0.084325
25,lexrank,0.411765,0.360784,0.118519
25,lsa,0.294118,0.225490,0.053241
25,luhn,0.352941,0.260784,0.072685
25,pegasus,0.117647,0.114706,0.027083
25,random,0.294118,0.270588,0.075000
25,reduction,0.411765,0.350420,0.093849
25,t5,0.176471,0.164706,0.072222
25,t5_large,0.235294,0.182353,0.054167
25,t5_small,0.176471,0.168067,0.046627
25,textrank,0.411765,0.396078,0.139815
