split_id,model,category,precision,recall,f1_score,support
1,lexrank,HR,0.000000,0.000000,0.000000,0.000000
1,lexrank,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,lexrank,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,lexrank,SALES,0.000000,0.000000,0.000000,0.000000
1,lexrank,TEACHER,0.000000,0.000000,0.000000,0.000000
1,lsa,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
1,lsa,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,lsa,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,lsa,APPAREL,0.500000,1.000000,0.666667,3.000000
1,lsa,ARTS,0.333333,0.333333,0.333333,3.000000
1,lsa,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,lsa,AVIATION,0.250000,0.333333,0.285714,3.000000
1,lsa,BANKING,0.000000,0.000000,0.000000,2.000000
1,lsa,BPO,0.000000,0.000000,0.000000,0.000000
1,lsa,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
1,lsa,CHEF,0.000000,0.000000,0.000000,0.000000
1,lsa,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,lsa,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,lsa,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,lsa,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,lsa,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,lsa,FINANCE,0.000000,0.000000,0.000000,0.000000
1,lsa,FITNESS,0.000000,0.000000,0.000000,0.000000
1,lsa,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,lsa,HR,0.000000,0.000000,0.000000,0.000000
1,lsa,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,lsa,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,lsa,SALES,0.000000,0.000000,0.000000,0.000000
1,lsa,TEACHER,0.000000,0.000000,0.000000,0.000000
1,luhn,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
1,luhn,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,luhn,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,luhn,APPAREL,0.600000,1.000000,0.750000,3.000000
1,luhn,ARTS,0.000000,0.000000,0.000000,3.000000
1,luhn,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,luhn,AVIATION,0.500000,0.666667,0.571429,3.000000
1,luhn,BANKING,0.000000,0.000000,0.000000,2.000000
1,luhn,BPO,0.000000,0.000000,0.000000,0.000000
1,luhn,BUSINESS-DEVELOPMENT,1.000000,0.500000,0.666667,2.000000
1,luhn,CHEF,0.000000,0.000000,0.000000,0.000000
1,luhn,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,luhn,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,luhn,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,luhn,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,luhn,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,luhn,FINANCE,0.000000,0.000000,0.000000,0.000000
1,luhn,FITNESS,0.000000,0.000000,0.000000,0.000000
1,luhn,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,luhn,HR,0.000000,0.000000,0.000000,0.000000
