model,category,precision,recall,f1_score,support
lsa,ACCOUNTANT,0.586667,0.800000,0.653333,1.000000
lsa,ADVOCATE,0.000000,0.000000,0.000000,1.000000
lsa,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
lsa,APPAREL,0.332381,0.760000,0.456277,3.000000
lsa,ARTS,0.271333,0.200000,0.210063,3.000000
lsa,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
lsa,AVIATION,0.304667,0.213333,0.224984,3.000000
lsa,BANKING,0.033333,0.040000,0.036000,2.000000
lsa,BPO,0.000000,0.000000,0.000000,0.000000
lsa,BUSINESS-DEVELOPMENT,0.198000,0.260000,0.211429,2.000000
lsa,CHEF,0.000000,0.000000,0.000000,0.000000
lsa,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
lsa,CONSULTANT,0.000000,0.000000,0.000000,0.000000
lsa,DESIGNER,0.000000,0.000000,0.000000,0.000000
lsa,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
lsa,ENGINEERING,0.000000,0.000000,0.000000,0.000000
lsa,FINANCE,0.000000,0.000000,0.000000,0.000000
lsa,FITNESS,0.000000,0.000000,0.000000,0.000000
lsa,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
lsa,HR,0.000000,0.000000,0.000000,0.000000
lsa,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
lsa,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
lsa,SALES,0.000000,0.000000,0.000000,0.000000
lsa,TEACHER,0.000000,0.000000,0.000000,0.000000
luhn,ACCOUNTANT,0.613333,0.800000,0.673333,1.000000
luhn,ADVOCATE,0.040000,0.040000,0.040000,1.000000
luhn,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
luhn,APPAREL,0.352084,0.733333,0.465733,3.000000
luhn,ARTS,0.044000,0.053333,0.046000,3.000000
luhn,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
luhn,AVIATION,0.536667,0.466667,0.475524,3.000000
luhn,BANKING,0.293333,0.240000,0.256000,2.000000
luhn,BPO,0.000000,0.000000,0.000000,0.000000
luhn,BUSINESS-DEVELOPMENT,0.446000,0.440000,0.413524,2.000000
luhn,CHEF,0.000000,0.000000,0.000000,0.000000
luhn,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
luhn,CONSULTANT,0.000000,0.000000,0.000000,0.000000
luhn,DESIGNER,0.000000,0.000000,0.000000,0.000000
luhn,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
luhn,ENGINEERING,0.000000,0.000000,0.000000,0.000000
luhn,FINANCE,0.000000,0.000000,0.000000,0.000000
luhn,FITNESS,0.000000,0.000000,0.000000,0.000000
luhn,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
luhn,HR,0.000000,0.000000,0.000000,0.000000
luhn,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
luhn,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
luhn,SALES,0.000000,0.000000,0.000000,0.000000
luhn,TEACHER,0.000000,0.000000,0.000000,0.000000
pegasus,ACCOUNTANT,0.300000,0.440000,0.346667,1.000000
pegasus,ADVOCATE,0.008000,0.040000,0.013333,1.000000
pegasus,AGRICULTURE,0.099333,0.240000,0.129333,1.000000
pegasus,APPAREL,0.194000,0.200000,0.181117,3.000000
pegasus,ARTS,0.168000,0.133333,0.140857,3.000000
pegasus,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
pegasus,AVIATION,0.247048,0.186667,0.193556,3.000000
pegasus,BANKING,0.020000,0.020000,0.020000,2.000000
pegasus,BPO,0.000000,0.000000,0.000000,0.000000
pegasus,BUSINESS-DEVELOPMENT,0.470000,0.560000,0.480000,2.000000
pegasus,CHEF,0.000000,0.000000,0.000000,0.000000
pegasus,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
pegasus,CONSULTANT,0.000000,0.000000,0.000000,0.000000
pegasus,DESIGNER,0.000000,0.000000,0.000000,0.000000
pegasus,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
pegasus,ENGINEERING,0.000000,0.000000,0.000000,0.000000
pegasus,FINANCE,0.000000,0.000000,0.000000,0.000000
pegasus,FITNESS,0.000000,0.000000,0.000000,0.000000
pegasus,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
pegasus,HR,0.000000,0.000000,0.000000,0.000000
pegasus,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
pegasus,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
pegasus,SALES,0.000000,0.000000,0.000000,0.000000
pegasus,TEACHER,0.000000,0.000000,0.000000,0.000000
random,ACCOUNTANT,0.283333,0.400000,0.316000,1.000000
random,ADVOCATE,0.086667,0.160000,0.104762,1.000000
random,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
random,APPAREL,0.400571,0.613333,0.469018,3.000000
random,ARTS,0.243333,0.200000,0.205333,3.000000
random,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
random,AVIATION,0.540000,0.413333,0.432794,3.000000
random,BANKING,0.000000,0.000000,0.000000,2.000000
random,BPO,0.000000,0.000000,0.000000,0.000000
random,BUSINESS-DEVELOPMENT,0.406667,0.460000,0.407333,2.000000
random,CHEF,0.000000,0.000000,0.000000,0.000000
random,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
random,CONSULTANT,0.000000,0.000000,0.000000,0.000000
random,DESIGNER,0.000000,0.000000,0.000000,0.000000
random,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
random,ENGINEERING,0.000000,0.000000,0.000000,0.000000
random,FINANCE,0.000000,0.000000,0.000000,0.000000
random,FITNESS,0.000000,0.000000,0.000000,0.000000
random,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
random,HR,0.000000,0.000000,0.000000,0.000000
random,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
random,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
random,SALES,0.000000,0.000000,0.000000,0.000000
random,TEACHER,0.000000,0.000000,0.000000,0.000000
reduction,ACCOUNTANT,0.646667,0.800000,0.693333,1.000000
reduction,ADVOCATE,0.000000,0.000000,0.000000,1.000000
reduction,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
reduction,APPAREL,0.313873,0.653333,0.415962,3.000000
reduction,ARTS,0.274762,0.280000,0.252286,3.000000
reduction,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
reduction,AVIATION,0.746667,0.520000,0.593524,3.000000
reduction,BANKING,0.170000,0.200000,0.181333,2.000000
reduction,BPO,0.000000,0.000000,0.000000,0.000000
reduction,BUSINESS-DEVELOPMENT,0.242667,0.280000,0.242857,2.000000
reduction,CHEF,0.000000,0.000000,0.000000,0.000000
reduction,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
reduction,CONSULTANT,0.000000,0.000000,0.000000,0.000000
reduction,DESIGNER,0.000000,0.000000,0.000000,0.000000
reduction,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
reduction,ENGINEERING,0.000000,0.000000,0.000000,0.000000
reduction,FINANCE,0.000000,0.000000,0.000000,0.000000
reduction,FITNESS,0.000000,0.000000,0.000000,0.000000
reduction,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
reduction,HR,0.000000,0.000000,0.000000,0.000000
reduction,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
reduction,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
reduction,SALES,0.000000,0.000000,0.000000,0.000000
reduction,TEACHER,0.000000,0.000000,0.000000,0.000000
t5,ACCOUNTANT,0.390000,0.720000,0.482667,1.000000
t5,ADVOCATE,0.000000,0.000000,0.000000,1.000000
